avg_type,id,pos,points,sd_pts,sd_pts_imputed,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,points_vor_flex,flex_rank,first_name,last_name,team,position,age,exp,overall_ecr,pos_ecr,sd_ecr,adp,adp_source,adp_ffa,adp_sd,adp_sd_source,adp_sd_ffa,adp_diff,aav,aav_sd,pid,adp_tsv,min_pick,max_pick,n_picks
robust,13589,QB,372.029,3.81917760000003,FALSE,40.984,367.754,395.58,57.4865,71.086,57.9520000000001,11,6,10,1,1,NA,NA,Josh,Allen,BUF,QB,30,2,28.72,1.01,0.1,32.45,ADP.tsv,18.804,9.1527,ADP.tsv,8.50155891586949,-7.804,38.215,11.6786418302815,16074,32.45,10,63,340
robust,13593,QB,331.045,10.052028,FALSE,3.18000000000001,320.6166,360.522,16.5025,23.9486,22.8939999999999,35,23,29,2,1,NA,NA,Lamar,Jackson,BAL,QB,29,2,38.18,2.46,0.93,64.42,ADP.tsv,41.516,18.8234,ADP.tsv,11.2351886499515,-6.516,25.535,10.5414740430359,16081,64.42,5,114,340
robust,16581,QB,327.865,8.1543,FALSE,3.29500000000002,317.2398,352.258,13.3225,20.5718,14.6300000000001,37,27,36,3,1,NA,NA,Jayden,Daniels,WAS,QB,26,-4,61.59,6.15,2.34,90.82,ADP.tsv,63.814,26.5946,ADP.tsv,9.05596952291691,-26.814,11.924,4.85648926694994,21126,90.82,10,164,340
robust,16580,QB,324.57,8.65838399999996,FALSE,0.939999999999998,316.086,356.354,10.0275,19.418,18.726,42,29,32,4,1,NA,NA,Drake,Maye,NEP,QB,24,-4,43.17,3.26,1.07,65.89,ADP.tsv,49.336,16.2330,ADP.tsv,11.3171950588474,-7.336,16.3745,6.65413035264564,21125,65.89,7,101,340
robust,14783,QB,323.63,3.85476000000003,FALSE,7.33999999999997,315.509,346.75,9.08749999999998,18.841,9.12200000000001,44,30,43,5,2,NA,NA,Jalen,Hurts,PHI,QB,28,0,60.14,5.82,1.67,97.58,ADP.tsv,64.948,25.5584,ADP.tsv,11.4598593359605,-20.948,14.2755,7.73959822923645,17999,97.58,8,156,340
robust,16579,QB,316.29,37.1243039999999,FALSE,0.267500000000041,292.372,342.648,1.7475,-4.29599999999999,5.02000000000004,54,72,56,6,2,NA,NA,Caleb,Williams,CHI,QB,25,-4,67.54,7.04,1.71,81.56,ADP.tsv,73.936,21.2411,ADP.tsv,14.3032871746323,-19.936,9.893,6.27882369556592,21124,81.56,19,142,340
robust,15237,QB,316.0225,16.649598,FALSE,0.0624999999999432,297.266,340.227,1.47999999999996,0.597999999999956,2.59899999999999,55,60,57,7,2,NA,NA,Trevor,Lawrence,JAC,QB,27,-1,77.14,8.99,2.02,91.97,ADP.tsv,82.202,21.0684,ADP.tsv,9.86450282578904,-27.202,8.4075,5.67389361461775,18779,91.97,14,136,340
robust,14779,QB,315.96,21.616308,FALSE,0.288499999999999,295.304,336.728,1.41750000000002,-1.36399999999998,-0.89999999999992,56,66,63,8,2,NA,NA,Justin,Herbert,LAC,QB,28,0,73.21,8.22,2.16,90.85,ADP.tsv,84.478,22.6226,ADP.tsv,17.1541381596395,-28.478,9.7215,6.92113767743425,17976,90.85,13,144,340
robust,17032,QB,315.6715,12.9964716,FALSE,1.12900000000002,302.878,339.266,1.12900000000002,6.20999999999998,1.63799999999998,57,48,59,9,3,NA,NA,Jaxson,Dart,NYG,QB,23,-5,99.71,13.32,2.88,123.84,ADP.tsv,104.216,28.8396,ADP.tsv,13.6040708613268,-47.216,6.534,3.19131132921876,22087,123.84,22,189,340
robust,12620,QB,314.5425,10.244766,FALSE,0.970000000000027,298.542,333.014,0,1.87400000000002,-4.61399999999998,61,57,66,10,3,NA,NA,Dak,Prescott,DAL,QB,33,4,79,9.27,2.04,91.12,ADP.tsv,69.506,21.0684,ADP.tsv,14.1156956612134,-8.506,10.8345,7.62190860283696,14553,91.12,15,137,340
