"id","aav_rts","aav_yahoo","aav_mfl","aav_espn","aav_avg","aav_sd"
"16162",66.42,73.5,66.96,70.8,69.42,2.89837885722346
"16161",60.42,71.4,70.104,68.3,67.556,4.2645243580029
"15281",53.83,64.3,65.016,63,61.5365,4.50765534951376
"13130",47.92,59.6,68.832,56.5,58.213,7.47608099207065
"14802",49.42,59.3,60.816,58.8,57.084,4.48664774636922
"16211",47.33,61.2,57.696,60,56.5565,5.47372238517812
"15287",48.67,56.7,59.256,57.8,55.6065,4.10612551561688
"16185",47.67,58.4,52.512,60,54.6455,4.89837633813491
"15715",48.17,54.3,54.048,54.6,52.7795,2.66846037070068
"13604",42.58,49.1,66.312,48.2,51.548,8.88260277171056
"14832",41.83,50.3,53.568,51.2,49.2245,4.43294267389057
"14836",41.58,46.9,53.856,50.9,48.309,4.60291244757056
"16181",44.92,46.3,46.488,44.2,45.477,0.953995283007206
"16167",41.5,43.8,44.4,48.9,44.65,2.68188366638078
"12626",35.42,40.6,59.04,43.5,44.64,8.80326075951406
"17044",41.92,43.9,40.968,43.6,42.597,1.20579724663809
"15711",41.5,44.1,45.744,36.8,42.036,3.38054551810799
"17042",36.92,43,39.432,37.6,39.238,2.35830701987676
"14104",35.67,32,48.336,37.5,38.3765,6.08162780429714
"13589",27,29.6,56.76,39.5,38.215,11.6786418302815
"15751",31.08,37.4,39.84,36.9,36.305,3.2151943953671
"15290",31.58,35.1,36.912,33.3,34.223,1.98980074379321
"17472",27.92,27.7,42.144,33.5,32.816,5.86565665548198
"15762",32.75,31.8,35.424,30.2,32.5435,1.89635881362152
"16641",28.83,35.7,31.104,33.7,32.3335,2.59744234777213
"15710",28.92,27.2,44.088,26.8,31.752,7.16659137944951
"15794",26.67,28.6,33,33.8,30.5175,2.97563753673057
"15754",34.08,24.8,33.096,29.8,30.444,3.62364015873541
"15256",33.17,24.1,34.848,27.9,30.0045,4.26532305341577
"16615",29.42,27.3,27.936,27.2,27.964,0.886751374399838
"15708",25.83,22.4,35.784,25.6,27.4035,5.02484594291208
"15282",28.08,25.3,31.968,23.7,27.262,3.13659241853321
"16194",23.75,22,28.128,29.2,25.7695,2.98405609029053
"13593",20,14.9,42.84,24.4,25.535,10.5414740430359
"15253",26.5,17.9,31.392,21.8,24.398,5.05737204484701
"16190",25.25,19.1,26.544,20.3,22.7985,3.16069719365839
"14797",24.42,14.8,34.704,16.7,22.656,7.83352845147064
"15753",24,14.1,26.808,23,21.977,4.75722471615542
"14835",21.42,21,26.952,16.6,21.493,3.67391167558503
"16627",25.83,15,21.024,20.6,20.6135,3.83705443667405
"15284",22.83,16.6,26.52,16.4,20.5875,4.29123161225306
"14071",20.67,12.2,32.4,12.5,19.4425,8.21668538706455
"17081",20.5,14,21.072,20.6,19.043,2.91957993553867
"17071",19.25,16.4,20.184,19.8,18.9085,1.48583873620255
"11675",15.92,9.6,32.232,17.5,18.813,8.29220037143339
"17045",19.33,16.7,20.304,18.3,18.6585,1.33443124588718
"17104",19.67,18.2,18,18.6,18.6175,0.644917630399418
"13198",NA,NA,18.264,NA,18.264,NA
"13635",21.5,9.2,28.824,13.1,18.156,7.595420199041
"17473",22.08,9.9,26.952,13.5,18.108,6.75644225905913
"13696",NA,NA,17.472,NA,17.472,NA
"14777",12.67,8.4,31.032,14.6,16.6755,8.58697739312268
"17051",21.17,11.4,15.816,18.1,16.6215,3.5632747227796
"14073",3.67,19,31.56,11.4,16.4075,10.2912374741816
"16580",12.75,9.3,27.048,16.4,16.3745,6.65413035264564
"15805",NA,NA,16.128,NA,16.128,NA
"16598",18.17,11.3,19.656,14.3,15.8565,3.27768466299002
"16239",NA,NA,15.72,NA,15.72,NA
"17052",19.5,9.7,18.96,13.6,15.44,4.03754876131546
"14109",14.83,10.2,23.424,11.4,14.9635,5.17173440443339
"14225",NA,NA,14.712,NA,14.712,NA
"14783",10.67,6,26.832,13.6,14.2755,7.73959822923645
"13214",NA,NA,13.632,NA,13.632,NA
"17102",14.83,13.1,14.088,12.4,13.6045,0.927491644167213
"17070",18.08,10.6,13.536,9,12.804,3.45326048829219
"13837",NA,NA,12.72,NA,12.72,NA
"13743",NA,NA,12.576,NA,12.576,NA
"15834",NA,NA,12.456,NA,12.456,NA
"16667",NA,NA,12.384,NA,12.384,NA
"15756",12.25,6.7,19.848,10.7,12.3745,4.76635612916198
"16192",14,4.6,24.768,6.1,12.367,8.00082914453246
"15404",NA,NA,12.168,NA,12.168,NA
"13813",NA,NA,12.168,NA,12.168,NA
"16581",8.08,6.4,18.216,15,11.924,4.85648926694994
"14892",NA,NA,11.808,NA,11.808,NA
"14251",NA,NA,11.496,NA,11.496,NA
"15789",14.58,6.1,18.96,6,11.41,5.57932791651468
"14412",NA,NA,11.208,NA,11.208,NA
"15259",12.33,4.2,20.664,6.9,11.0235,6.28906962515124
"15350",NA,NA,11.016,NA,11.016,NA
"14893",NA,NA,10.992,NA,10.992,NA
"17468",NA,NA,10.944,NA,10.944,NA
"11671",9.58,5.8,22.08,6.3,10.94,6.59352712893486
"15861",NA,NA,10.92,NA,10.92,NA
"12620",7.17,3.5,23.568,9.1,10.8345,7.62190860283696
"16616",13.83,6.4,12.264,10.5,10.7485,2.77324660821933
"13987",NA,NA,10.56,NA,10.56,NA
"14171",NA,NA,10.536,NA,10.536,NA
"15428",NA,NA,10.488,NA,10.488,NA
"15355",NA,NA,10.368,NA,10.368,NA
"14085",9.5,3.5,21.288,5.4,9.922,6.91112523399772
"15846",NA,NA,9.912,NA,9.912,NA
"14896",NA,NA,9.912,NA,9.912,NA
"16579",7.92,3.6,20.352,7.7,9.893,6.27882369556592
"15742",10.08,4.3,20.184,5,9.891,6.34749423000919
"16276",NA,NA,9.888,NA,9.888,NA
"17043",11.58,7.3,12.912,7.6,9.848,2.44610547605781
"14779",6.33,3.6,21.456,7.5,9.7215,6.92113767743425
"528",NA,NA,9.576,NA,9.576,NA
"16604",13.75,4.5,15.36,4.6,9.5525,5.03490503882645
"16013",NA,NA,9.504,NA,9.504,NA
"16266",NA,NA,9.48,NA,9.48,NA
"16597",11.75,4.1,16.848,4.1,9.1995,5.40865979240699
"14877",NA,NA,9.192,NA,9.192,NA
"13284",NA,NA,8.928,NA,8.928,NA
"532",NA,NA,8.88,NA,8.88,NA
"13116",3.33,2.1,24.192,5.8,8.8555,8.95422027593693
"14249",NA,NA,8.832,NA,8.832,NA
"13299",7.67,3.2,17.976,5.5,8.5865,5.64675895979278
"13697",NA,NA,8.472,NA,8.472,NA
"16614",8.42,3.6,14.616,7,8.409,3.9886943979202
"15237",7.17,2.5,17.76,6.2,8.4075,5.67389361461775
"14472",NA,NA,8.352,NA,8.352,NA
"17497",6.5,3.3,16.944,6.6,8.336,5.14401477447334
"15716",9.09,18.7,4.296,1.2,8.3215,6.61861516859834
"12688",NA,NA,8.256,NA,8.256,NA
"15076",NA,NA,8.184,NA,8.184,NA
"511",NA,NA,8.184,NA,8.184,NA
"13268",NA,NA,8.184,NA,8.184,NA
"9431",4.75,1.7,19.704,6.5,8.1635,6.88075553627652
"11757",NA,NA,8.16,NA,8.16,NA
"14163",NA,NA,8.112,NA,8.112,NA
"14102",6,2.3,18.744,5.4,8.111,6.29750450575464
"13251",NA,NA,7.944,NA,7.944,NA
"16222",9.58,6,11.688,4.5,7.942,2.84316232389218
"15822",NA,NA,7.92,NA,7.92,NA
"14800",7,2.6,18.72,3.3,7.905,6.46398290529918
"14322",NA,NA,7.896,NA,7.896,NA
"14823",9,3.4,14.952,4.2,7.888,4.60652059585106
"13630",6.58,1.7,17.688,5.5,7.867,5.95279320991415
"14147",NA,NA,7.704,NA,7.704,NA
"12221",NA,NA,7.704,NA,7.704,NA
"17144",NA,NA,7.56,NA,7.56,NA
"14303",NA,NA,7.32,NA,7.32,NA
"13806",NA,NA,7.296,NA,7.296,NA
"15255",10,1.9,14.184,3,7.271,5.05781800779743
"15329",6.75,3.5,12.384,6.4,7.2585,3.21685665673807
"14170",NA,NA,7.248,NA,7.248,NA
"15972",8.83,2.4,15.456,2.3,7.2465,5.42816237321619
"13163",8.75,2.1,15.792,2.3,7.2355,5.61782704877963
"16214",6.75,4.6,11.688,5.8,7.2095,2.69556501498295
"515",NA,NA,7.056,NA,7.056,NA
"15839",NA,NA,7.032,NA,7.032,NA
"13714",NA,NA,7.008,NA,7.008,NA
"15261",6.17,3.6,15.384,2.7,6.9635,5.02556034189224
"16283",NA,NA,6.936,NA,6.936,NA
"15923",NA,NA,6.768,NA,6.768,NA
"14179",NA,NA,6.744,NA,6.744,NA
"16582",3.58,1.5,15.096,6.3,6.619,5.18172201106929
"16708",NA,NA,6.552,NA,6.552,NA
"17032",5,2.5,11.136,7.5,6.534,3.19131132921876
"15001",NA,NA,6.408,NA,6.408,NA
"16672",NA,NA,6.264,NA,6.264,NA
"17514",7.5,2.4,12.648,2.3,6.212,4.26954704857553
"13223",NA,NA,6.192,NA,6.192,NA
"16206",6.08,1.8,13.776,3,6.164,4.66382332426948
"14840",NA,NA,6.144,NA,6.144,NA
"14169",NA,NA,6.072,NA,6.072,NA
"16241",NA,NA,6.072,NA,6.072,NA
"17103",7.08,3.5,8.064,5.5,6.036,1.72636265019839
"14590",NA,NA,6.024,NA,6.024,NA
"12611",3.5,1.3,15.912,3,5.928,5.82166230556188
"16618",7.83,2.6,10.224,2.8,5.8635,3.27553610115963
"16414",5.5,4.3,8.568,5,5.842,1.63054960059484
"13737",NA,NA,5.808,NA,5.808,NA
"17124",NA,NA,5.784,NA,5.784,NA
"12186",4.5,1.7,13.92,3,5.78,4.80293660170525
"16593",8.5,3,8.544,2.9,5.736,2.78626775454191
"13447",NA,NA,5.664,NA,5.664,NA
"15768",4.92,2.6,11.832,3.2,5.638,3.67608650605505
"15452",NA,NA,5.592,NA,5.592,NA
"16295",NA,NA,5.568,NA,5.568,NA
"15698",3.08,1.4,12.984,4.8,5.566,4.44829270619639
"14235",NA,NA,5.448,NA,5.448,NA
"11244",3,2.1,13.416,3.1,5.404,4.64209521660209
"15757",8.42,1.3,9.432,2.2,5.338,3.61980828221606
"14056",2.58,1.3,14.352,3.1,5.333,5.24816034434925
"17068",8,2.2,8.88,2,5.27,3.18601632136435
"14842",5.08,1.3,10.224,4.3,5.226,3.21217496410143
"14167",NA,NA,5.208,NA,5.208,NA
"531",NA,NA,5.208,NA,5.208,NA
"13319",2.67,1.6,14.256,2.1,5.1565,5.26722097030303
"14908",NA,NA,5.136,NA,5.136,NA
"16676",NA,NA,5.064,NA,5.064,NA
"16650",NA,NA,5.064,NA,5.064,NA
"10266",NA,NA,5.016,NA,5.016,NA
"15868",NA,NA,4.968,NA,4.968,NA
"17256",5.42,2,10.248,2,4.917,3.37973179409254
"17544",NA,NA,9.648,0,4.824,4.824
"14782",3.45,1.1,12.744,2,4.8235,4.64912429926325
"510",NA,NA,4.8,NA,4.8,NA
"17482",6.42,2.8,9,0.9,4.78,3.14136912826239
"17463",NA,NA,9.528,0,4.764,4.764
"17567",NA,NA,4.752,NA,4.752,NA
"518",NA,NA,4.728,NA,4.728,NA
"504",NA,NA,4.68,NA,4.68,NA
"17467",NA,NA,4.656,NA,4.656,NA
"524",NA,NA,4.632,NA,4.632,NA
"17462",NA,1.3,12.24,0.3,4.61333333333333,5.40829815088711
"17521",NA,NA,9.216,0,4.608,4.608
"14940",NA,NA,4.584,NA,4.584,NA
"16188",4.92,1.5,9.888,2,4.577,3.33291269012556
"16169",3.09,2,11.568,1.2,4.4645,4.1557094159722
"17466",NA,NA,8.88,0,4.44,4.44
"14221",NA,NA,4.44,NA,4.44,NA
"14897",NA,NA,4.44,NA,4.44,NA
"16300",NA,NA,4.416,NA,4.416,NA
"13590",1.67,1.1,12.36,2.3,4.3575,4.63970028665646
"14927",NA,NA,4.296,NA,4.296,NA
"15798",4,1.8,9.288,2,4.272,3.02105147258368
"17501",3.08,1.3,11.16,1.4,4.235,4.06020627554808
"16224",NA,NA,4.224,NA,4.224,NA
"17153",NA,NA,4.224,NA,4.224,NA
"15694",1.82,1.1,13.008,0.9,4.207,5.09276614424813
"17066",5.92,2.1,6.624,2.1,4.186,2.10079699162009
"514",NA,NA,4.152,NA,4.152,NA
"17499",2.08,1.4,11.376,1.6,4.114,4.19999380951925
"0528",4.08,3.9,NA,4.2,4.06,0.12328828005938
"17520",NA,NA,8.088,0,4.044,4.044
"14909",NA,NA,4.032,NA,4.032,NA
"14217",NA,NA,4.032,NA,4.032,NA
"13674",2.6,1.4,9.792,2.3,4.023,3.35987901567899
"17518",1.4,NA,10.536,0.1,4.012,4.64359286185457
"11150",NA,NA,7.608,0.2,3.904,3.704
"17743",NA,NA,3.888,NA,3.888,NA
"13713",NA,NA,3.864,NA,3.864,NA
"15721",3.58,1.4,8.856,1.6,3.859,3.0082225649044
"15366",NA,NA,3.816,NA,3.816,NA
"17498",1.27,1.9,11.448,0.6,3.8045,4.43685482633814
"12752",NA,NA,3.792,NA,3.792,NA
"13592",1.56,1.2,11.16,1.2,3.78,4.26337894163772
"14148",NA,NA,3.768,NA,3.768,NA
"0532",4,3.3,NA,3.9,3.73333333333333,0.309120616516524
"17503",NA,NA,7.416,0,3.708,3.708
"16187",2.83,1.4,9.192,1.4,3.7055,3.22097978106042
"16186",3.25,1.2,7.944,2.2,3.6485,2.58376793656087
"9064",NA,NA,7.248,0,3.624,3.624
"14778",NA,NA,7.128,0.1,3.614,3.514
"14059",1.33,1.1,10.632,1.3,3.5905,4.06637316905372
"17512",NA,NA,7.176,0,3.588,3.588
"17607",NA,NA,7.176,0,3.588,3.588
"15712",3.75,1.3,8.616,0.6,3.5665,3.14118874791057
