"id","adp_rts","adp_cbs","adp_yahoo","adp_ffc","adp_mfl","adp_espn","adp_avg","adp_sd"
"16162",1.18,1.13,1.3,1.5,1.8,1.3,1.36833333333333,0.225567186344902
"16161",1.89,2.19,2,2.2,2.56,2.4,2.20666666666667,0.225659527213504
"15281",3.29,5.71,3.5,4.7,4.57,4.3,4.345,0.803009962578298
"14802",6.71,3.74,6.3,3.7,7.03,6.2,5.61333333333333,1.36598763618937
"16211",5.3,7.6,5,4.4,8.37,5.3,5.995,1.45583595687609
"13130",5.57,8.01,5.9,6.8,8.64,7.7,7.10333333333333,1.11284420393073
"16185",6.53,8.5,7.2,6.7,8.44,6.3,7.27833333333333,0.885031386762953
"15715",8.34,7.15,9.4,7.9,10.14,10.1,8.83833333333333,1.1240465095162
"15287",8.31,11.45,7.9,9.3,10.32,8.4,9.28,1.25237108451662
"16167",10.48,12.77,15.2,11.5,16.2,12.4,13.0916666666667,2.00178600809932
"13604",15.47,11.98,11.3,11.7,15.29,14,13.29,1.70591129116767
"14832",14.66,17.58,11,13.1,15.07,11.8,13.8683333333333,2.19631825765049
"12626",20.16,7.83,17.2,6.9,18.06,16.5,14.4416666666667,5.13529751383068
"16181",11.2,12.55,15.7,15.2,16.73,17,14.73,2.14196171767845
"14836",12.72,19.29,13.2,15.2,16.37,12.6,14.8966666666667,2.3963629849327
"15711",15.19,16.08,15.4,18.2,21.56,24.8,18.5383333333333,3.54864489003275
"17044",14.27,18.52,18.2,22.8,20.26,18.1,18.6916666666667,2.56614117997346
"13589",26.27,14.91,20.6,27.8,4.44,19.1,18.8533333333333,7.76160994181548
"17042",18.12,22.6,17.7,25.5,22.31,21.8,21.3383333333333,2.69764351899126
"15751",23.73,24.44,20.1,13.8,26.47,20.4,21.49,4.09830859420485
"14104",20.01,23.58,24,18.6,23.27,21,21.7433333333333,2.00973187819227
"15762",23.71,22.88,22.5,18.2,28.64,28.2,24.0216666666667,3.56826949966258
"15290",24.36,26.38,21.6,20.1,28.22,25.7,24.3933333333333,2.78490374858609
"15710",30.19,21.16,28,21.5,27.38,35,27.205,4.82051086504325
"16641",24.15,29.9,21,47,25.9,23.9,28.6416666666667,8.63309603920993
"15256",23.03,26.47,33.8,26,33.59,32.7,29.265,4.25085383579974
"15754",21.59,31.8,31.3,25.6,37,29.4,29.4483333333333,4.87428769724927
"17472",28.13,35.25,29.7,30.4,33,26,30.4133333333333,3.03546628305365
"16194",38.74,27.14,35.6,21.8,33.86,29.4,31.09,5.64650629445619
"15794",26.73,34.22,27.1,50.4,27.56,23,31.5016666666667,9.07831558654406
"16615",27.75,35.61,30.4,31.2,35.63,35,32.5983333333333,3.00897223132566
"15708",31.05,40.66,34.6,31.4,42.49,35.9,36.0166666666667,4.31019205553019
"15282",36.91,39.65,29.5,36.4,39.47,36.6,36.4216666666667,3.36389365996542
"15253",33.03,34.97,42,35.6,38.89,40.6,37.515,3.20890817361087
"16190",38.09,41.84,35.7,23.8,43.68,44.1,37.8683333333333,6.9648173382764
"13593",53.26,34.63,38.6,55.3,25.79,34.5,40.3466666666667,10.5843243630485
"17045",41.32,34.58,42.4,35.7,43.67,45,40.445,3.92957906990897
"14835",48.96,38.48,33.5,30.8,42.94,51.1,40.9633333333333,7.48072560354646
"14797",39.4,30.41,45.7,39.7,46.8,51.7,42.285,6.79105723237062
"17071",45.13,47.64,41.9,32.8,48.55,42.2,43.0366666666667,5.20818159778973
"17081",45.45,47.57,45.6,35.4,49.29,44.8,44.685,4.41920335958115
"16627",43.78,48.27,44.6,43.7,47.23,45.8,45.5633333333333,1.71950251203332
"15753",41.34,59,48,41.7,49.43,37.1,46.095,7.11953123456875
"17104",44.72,44.48,39.2,67.7,46.73,42.4,47.5383333333333,9.31283060561551
"16598",39.75,41.87,54.2,47.2,51.03,56.8,48.475,6.19121084010767
"15284",46.19,52.68,40,48.2,53.46,52.1,48.7716666666667,4.69516210819416
"17051",36.66,47.57,54.6,47.8,57.86,48.5,48.8316666666667,6.65457340647935
"16580",68.95,47.92,47.7,48.6,33.51,47.2,48.98,10.3617614332699
"14777",68.47,46.23,50.2,53.8,32.68,53.5,50.8133333333333,10.6309072467447
"11675",61.15,57,56.7,35.9,50.4,46.1,51.2083333333333,8.40269880587316
"14071",44.09,47.26,53.1,52,57.01,61.4,52.4766666666667,5.7495294493453
"13635",35.26,58.95,59.2,49.3,58.17,60.2,53.5133333333333,8.9370757086545
"17052",47.04,50.34,61.1,49.8,61.02,61.1,55.0666666666667,6.09304156850711
"15756",58.43,56.72,65.6,32,59.13,64.1,55.9966666666667,11.1802663454658
"14109",62.03,60.84,54.1,43.2,59.79,60.9,56.81,6.60396345638991
"17473",44.86,51.74,63.9,66,61.65,66.8,59.1583333333333,8.0970085353927
"17102",57.69,64.39,47.1,79.5,62.17,52.1,60.4916666666667,10.3032089122219
"16581",76.53,64.83,55.2,70.2,52.31,53.1,62.0283333333333,9.18069608229984
"17070",43,69.5,57.9,58.7,72.45,74.8,62.725,10.9151175745691
"16616",63.38,69.7,66.3,45.5,68.61,65.1,63.0983333333333,8.14451229697368
"14783",78.47,62.23,56.8,77.7,49.54,54.7,63.24,11.1367245334224
"14073",97.95,64.53,49.5,43.1,63.84,77.6,66.0866666666667,18.0684067427713
"17043",54.81,71.91,66.8,57.6,70.2,77.4,66.4533333333333,7.93422053862606
"15789",66.73,68.97,67.7,48.6,66.99,88.5,67.915,11.5486691152415
"15259",63.47,70.16,77.3,58,69.84,78.1,69.4783333333333,7.11757546890481
"12620",94.71,56.9,73.1,66.8,56.02,71.8,69.8883333333333,12.9141374943208
"11671",75.75,78.02,69.5,54.5,78.56,83.7,73.3383333333333,9.41611812561607
"16192",63.9,81.87,77.4,65.1,71.88,89.6,74.9583333333333,9.10183940506289
"15742",65.26,85.54,76.1,65.4,76.44,86.4,75.8566666666667,8.43563407351352
"16579",89.99,73.91,66.7,87.9,51.18,88.9,76.43,14.1981289847172
"17103",63.9,77.7,70.8,89.2,91.51,70.5,77.2683333333333,10.0973435725552
"16222",73.4,70.66,60.4,89.8,80.4,91,77.61,10.7848891201223
"16614",81.96,79.72,78.3,66.6,83.88,78.6,78.1766666666667,5.52927260637017
"14085",71.29,75.26,85.9,68.1,85.5,87.2,78.875,7.62941620746088
"14823",63.39,79.09,86.3,75.6,95.75,95,82.5216666666667,11.3334305142892
"13630",80.2,89.8,105.9,61.2,77.58,81.2,82.6466666666667,13.4511296510326
"17497",84.27,101.32,81.5,73.1,84.21,77.8,83.7,8.7850194460039
"14102",85.52,94.59,85.7,62.4,89.88,85.2,83.8816666666667,10.1639795629249
"14779",99.13,80.93,70.3,108.8,63.23,85.5,84.6483333333333,15.6641452758273
"15329",82.72,85.26,72.2,122.6,77.14,68.7,84.77,17.8419832604637
"15237",94.7,74.95,83.8,90,67.56,101.2,85.3683333333333,11.4550722632184
"16214",92.97,73.92,63.2,123.2,88.91,74.1,86.05,19.3573861871896
"15768",93.87,75.29,95.9,56.4,94.55,108.1,87.3516666666667,16.8392472284904
"13299",101.64,85.26,82.9,98.8,84.87,72.9,87.7283333333333,9.77728049556158
"14800",84.02,74.47,94.7,71.2,95.08,111.5,88.495,13.7048504187386
