avg_type,id,pos,points,sd_pts,sd_pts_imputed,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,points_vor_flex,flex_rank,first_name,last_name,team,position,age,exp,overall_ecr,pos_ecr,sd_ecr,adp,adp_source,adp_ffa,adp_sd,adp_sd_source,adp_sd_ffa,adp_diff,aav,aav_sd,pid,adp_tsv,min_pick,max_pick,n_picks
average,13589,QB,376.164571428571,12.1101789534967,FALSE,41.084,367.754,395.58,61.3965714285714,71.086,57.9520000000001,9,6,10,1,1,NA,NA,Josh,Allen,BUF,QB,30,2,28.72,1.01,0.1,32.45,ADP.tsv,18.804,9.1527,ADP.tsv,8.50155891586949,-9.804,38.215,11.6786418302815,16074,32.45,10,63,340
average,13593,QB,335.080571428571,17.2081260151238,FALSE,4.3017142857143,320.6166,360.522,20.3125714285714,23.9486,22.8939999999999,29,23,29,2,1,NA,NA,Lamar,Jackson,BAL,QB,29,2,38.18,2.46,0.93,64.42,ADP.tsv,41.516,18.8234,ADP.tsv,11.2351886499515,-12.516,25.535,10.5414740430359,16081,64.42,5,114,340
average,16581,QB,330.778857142857,14.6689512398191,FALSE,1.69314285714285,317.2398,352.258,16.0108571428571,20.5718,14.6300000000001,33,27,36,3,1,NA,NA,Jayden,Daniels,WAS,QB,26,-4,61.59,6.15,2.34,90.82,ADP.tsv,63.814,26.5946,ADP.tsv,9.05596952291691,-30.814,11.924,4.85648926694994,21126,90.82,10,164,340
average,16580,QB,329.085714285714,17.2625402313244,FALSE,1.3857142857143,316.086,356.354,14.3177142857143,19.418,18.726,37,29,32,4,1,NA,NA,Drake,Maye,NEP,QB,24,-4,43.17,3.26,1.07,65.89,ADP.tsv,49.336,16.2330,ADP.tsv,11.3171950588474,-12.336,16.3745,6.65413035264564,21125,65.89,7,101,340
average,14783,QB,327.7,13.4170724576315,FALSE,6.63114285714283,315.509,346.75,12.932,18.841,9.12200000000001,38,30,43,5,1,NA,NA,Jalen,Hurts,PHI,QB,28,0,60.14,5.82,1.67,97.58,ADP.tsv,64.948,25.5584,ADP.tsv,11.4598593359605,-26.948,14.2755,7.73959822923645,17999,97.58,8,156,340
average,14777,QB,321.068857142857,16.6915007456746,FALSE,2.69285714285718,308.8408,346.299,6.30085714285713,12.1728,8.67099999999999,44,41,45,6,2,NA,NA,Joe,Burrow,CIN,QB,30,0,50.19,4.54,1.36,62.41,ADP.tsv,50.276,17.6146,ADP.tsv,11.57095778231,-6.276,16.6755,8.58697739312268,17968,62.41,6,108,340
average,16579,QB,318.376,23.3139074374074,FALSE,0.839999999999975,292.372,342.648,3.60799999999995,-4.29599999999999,5.02000000000004,51,72,56,7,2,NA,NA,Caleb,Williams,CHI,QB,25,-4,67.54,7.04,1.71,81.56,ADP.tsv,73.936,21.2411,ADP.tsv,14.3032871746323,-22.936,9.893,6.27882369556592,21124,81.56,19,142,340
average,17032,QB,317.536,14.9033712069898,FALSE,1.19457142857141,302.878,339.266,2.76799999999997,6.20999999999998,1.63799999999998,53,48,59,8,2,NA,NA,Jaxson,Dart,NYG,QB,23,-5,99.71,13.32,2.88,123.84,ADP.tsv,104.216,28.8396,ADP.tsv,13.6040708613268,-51.216,6.534,3.19131132921876,22087,123.84,22,189,340
average,15237,QB,316.341428571429,18.2665974103658,FALSE,1.57342857142856,297.266,340.227,1.57342857142856,0.597999999999956,2.59899999999999,56,60,57,9,2,NA,NA,Trevor,Lawrence,JAC,QB,27,-1,77.14,8.99,2.02,91.97,ADP.tsv,82.202,21.0684,ADP.tsv,9.86450282578904,-26.202,8.4075,5.67389361461775,18779,91.97,14,136,340
average,14779,QB,314.768,20.3727396292202,FALSE,0.636000000000024,295.304,336.728,0,-1.36399999999998,-0.89999999999992,61,66,63,10,2,NA,NA,Justin,Herbert,LAC,QB,28,0,73.21,8.22,2.16,90.85,ADP.tsv,84.478,22.6226,ADP.tsv,17.1541381596395,-23.478,9.7215,6.92113767743425,17976,90.85,13,144,340
average,16582,QB,314.132,22.2582056779067,FALSE,0.440571428571445,288.956,337.628,-0.636000000000024,-7.71199999999999,0,62,80,61,11,2,NA,NA,Bo,Nix,DEN,QB,26,-4,99.2,12.7,1.99,120.87,ADP.tsv,104.464,25.3857,ADP.tsv,16.9150496304327,-42.464,6.619,5.18172201106929,20299,120.87,26,173,340
average,12620,QB,313.691428571429,15.2707066291112,FALSE,3.07142857142856,298.542,333.014,-1.07657142857147,1.87400000000002,-4.61399999999998,64,57,66,12,2,NA,NA,Dak,Prescott,DAL,QB,33,4,79,9.27,2.04,91.12,ADP.tsv,69.506,21.0684,ADP.tsv,14.1156956612134,-5.506,10.8345,7.62190860283696,14553,91.12,15,137,340
