"team","dst_int","dst_safety","dst_sacks","dst_tackles","dst_fum_rec","dst_fum_force","dst_td","dst_pts_allowed","dst_pts_allowed_g","dst_pass_yds_allowed","dst_rush_yds_allowed","dst_yds_allowed","dst_avg_yds_allowed","site_pts","site_fppg","data_src","id","pos","src_id","player","dst_fumbles","dst_yds_199","dst_yds_299","dst_yds_349","dst_yds_399","dst_yds_449","dst_yds_499","dst_yds_549","dst_yds_550","dst_pts_6","dst_pts_13","dst_pts_17","dst_pts_20","dst_pts_27","dst_pts_34","dst_pts_45","bye","dst_pass_yds_g","dst_rush_yds_g","dst_ret_tds"
"DEN",15,0,72.9,648,10,14,2.9,312,18.4,0,1745,4228,248.7,276.3,16.3,"CBS","0511","DST","1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOU",15,1,57.3,662,14,20,3.3,319,18.8,0,1821,4658,274,239.1,14.1,"CBS","0532","DST","1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIN",13,0,61.1,678,16,22,3,355,20.9,0,1817,4613,271.4,239.1,14.1,"CBS","0524","DST","1916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAR",15,0,56.2,693,12,16,3,325,19.1,0,1870,4858,285.8,230.2,13.5,"CBS","0528","DST","1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SEA",14,0,51,700,12,16,3.9,297,17.5,0,1759,4726,278,228.4,13.4,"CBS","0515","DST","1926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHI",15,0,46.2,673,13,18,3,320,18.8,0,1916,4963,291.9,222.2,13.1,"CBS","0518","DST","1921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAL",13,0,49.2,683,12,16,2.7,355,20.9,0,1719,4947,291,217.4,12.8,"CBS","0531","DST","1903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NE",14,0,45.5,696,12,17,3.5,370,21.8,0,1883,4915,289.1,186.5,11,"CBS","0504","DST","1931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NO",13,0,54.7,685,11,16,2.6,426,25.1,0,1792,5020,295.3,186.3,11,"CBS","0529","DST","1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLE",13,0,52.8,658,11,15,2.5,402,23.6,0,1800,4682,275.4,183.8,10.8,"CBS","0507","DST","1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KC",13,0,43.8,710,10,14,2.5,359,21.1,0,1734,5039,296.4,172.8,10.2,"CBS","0512","DST","1914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAC",13,0,32.8,703,12,17,3.5,384,22.6,0,1848,5081,298.9,171.8,10.1,"CBS","0509","DST","1913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATL",15,0,70,689,10,14,2.7,435,25.6,0,2122,5229,307.6,170.2,10,"CBS","0526","DST","1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DET",14,0,59.7,676,10,14,3.4,397,23.4,0,2026,5195,305.6,162.1,9.5,"CBS","0522","DST","1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAC",16,0,59.7,676,9,13,2.8,378,22.2,0,2040,5109,300.5,160.5,9.4,"CBS","0514","DST","1924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PIT",12,0,50.2,699,17,23,3,360,21.2,0,1837,5350,314.7,160.2,9.4,"CBS","0510","DST","1922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BUF",15,0,47.3,677,11,15,3.1,396,23.3,0,2287,5320,312.9,151.9,8.9,"CBS","0501","DST","1904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHI",15,0,42.5,709,13,18,3.2,394,23.2,0,2276,5892,346.6,151.7,8.9,"CBS","0521","DST","1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CIN",13,0,47,674,13,17,3,430,25.3,0,2246,5663,333.1,151,8.9,"CBS","0506","DST","1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIA",10,0,52.5,738,13,18,2.7,469,27.6,0,2138,5799,341.1,148.7,8.7,"CBS","0503","DST","1915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LV",11,0,46.9,724,12,17,2.4,472,27.8,0,1745,5376,316.2,141.3,8.3,"CBS","0513","DST","1920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TB",12,0,40.6,676,13,19,2.7,412,24.2,0,1833,5393,317.2,140.8,8.3,"CBS","0525","DST","1927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GB",13,0,39.1,721,12,16,2.7,375,22.1,0,1837,5160,303.5,139.3,8.2,"CBS","0523","DST","1911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WAS",11,0,47,701,9,12,2.8,453,26.6,0,2162,6107,359.2,137.8,8.1,"CBS","0520","DST","1929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
