"player","pos","team","games","fg","fg_att","fg_0019","fg_att_0019","fg_2029","fg_att_2029","fg_3039","fg_att_3039","fg_4049","fg_att_4049","fg_50","fg_att_50","xp","xp_att","site_pts","site_fppg","src_id","data_src","id","fg_50_att","fg_4049_att","fg_0039","fg_att_39","fg_miss","bye","fg_pct"
"Jason Myers","K","SEA",17,39,44,0.301,0.301,8.3,9.2,12.4,13.1,11.3,12.8,6.4,6.4,50,50,167,9.8,"2169640","CBS","12437",NA,NA,NA,NA,NA,NA,NA
"Ka'imi Fairbairn","K","HOU",17,39,43,0.325,0.325,8.9,9.4,10.6,10.8,11.8,13.2,6.9,6.9,40,41,157,9.2,"1996562","CBS","12860",NA,NA,NA,NA,NA,NA,NA
"Spencer Shrader","K","IND",17,34,38,0.289,0.292,10.6,10.7,12,12.8,8.2,9.5,2.67,2.67,51,52,153,9,"3131541","CBS","16896",NA,NA,NA,NA,NA,NA,NA
"Brandon Aubrey","K","DAL",17,34,39,0.285,0.285,8.2,8.3,9.3,10.1,10.6,11.8,6.1,6.1,48,49,150,8.8,"2815718","CBS","16414",NA,NA,NA,NA,NA,NA,NA
"Jake Bates","K","DET",17,31,38,0.242,0.242,6.6,6.7,9.5,9.6,9.5,11.5,5,5,53,55,146,8.6,"3173439","CBS","16846",NA,NA,NA,NA,NA,NA,NA
"Cameron Dicker","K","LAC",17,35,38,0.275,0.275,7.6,7.6,11.5,12.2,10.2,11.3,5.2,5.2,38,40,143,8.4,"2961997","CBS","15979",NA,NA,NA,NA,NA,NA,NA
"Cairo Santos","K","CHI",17,32,37,0.25,0.25,6.9,7,9,9.8,10.6,13.2,5.3,5.3,47,47,143,8.4,"2132690","CBS","11945",NA,NA,NA,NA,NA,NA,NA
"Will Reichard","K","MIN",17,33,36,0.29,0.29,8,8.1,9.9,10.2,8.3,9.3,6.2,6.2,42,43,141,8.3,"3121084","CBS","16681",NA,NA,NA,NA,NA,NA,NA
"Chase McLaughlin","K","TB",17,33,39,0.288,0.288,8.1,8.2,9.8,11.5,8.3,11.7,6.1,6.1,42,43,141,8.3,"2165272","CBS","14717",NA,NA,NA,NA,NA,NA,NA
"Harrison Mevis","K","LAR",17,28,31,0.242,0.244,6.7,6.7,7.9,8.3,10.3,11.4,3.36,3.36,54,55,138,8.1,"3162619","CBS","16843",NA,NA,NA,NA,NA,NA,NA
"Tyler Loop","K","BAL",17,29,32,0.231,0.232,9.3,9.3,10.6,10.7,7.7,8.7,1.16,1.16,49,51,136,8,"3174704","CBS","17222",NA,NA,NA,NA,NA,NA,NA
"Cam Little","K","JAC",17,29,32,0.238,0.238,6.5,6.6,8.2,8.3,8.7,10.4,5.1,5.1,49,49,136,8,"26702477","CBS","16680",NA,NA,NA,NA,NA,NA,NA
"Harrison Butker","K","KC",17,33,39,0.507,0.507,9.5,9.8,10.1,10.2,8.4,10.1,4.63,4.63,35,39,134,7.9,"2078888","CBS","13354",NA,NA,NA,NA,NA,NA,NA
"Evan McPherson","K","CIN",17,29,34,0.234,0.234,6.4,6.5,7.6,7.7,9.9,11.1,4.97,4.97,47,50,134,7.9,"2962681","CBS","15368",NA,NA,NA,NA,NA,NA,NA
"Wil Lutz","K","DEN",17,30,36,0.224,0.224,8.4,8.4,10.6,10.8,6.4,9.3,4.4,4.4,44,45,134,7.9,"2008545","CBS","12956",NA,NA,NA,NA,NA,NA,NA
"Nick Folk","K","ATL",17,30,33,0.256,0.256,7,7.1,8.8,8.9,8.8,9.8,5.4,5.4,41,41,131,7.7,"410721","CBS","8851",NA,NA,NA,NA,NA,NA,NA
"Eddy Pineiro","K","SF",17,31,34,0.244,0.244,6.7,6.8,8.5,8.7,10.3,11.5,5.2,5.2,37,41,130,7.6,"2221833","CBS","13719",NA,NA,NA,NA,NA,NA,NA
"Trey Smack","K","GB",17,29,34,0.287,0.29,8,8.3,9.2,10.2,8,10.4,3.16,3.16,39,43,126,7.4,"28899321","CBS","17668",NA,NA,NA,NA,NA,NA,NA
"Tyler Bass","K","BUF",17,26,31,0.214,0.214,8,8.9,7.1,7.2,6.2,9.3,4.55,4.55,46,49,124,7.3,"2188356","CBS","14983",NA,NA,NA,NA,NA,NA,NA
"Daniel Carlson","K","NO",17,30,35,0.247,0.247,7.7,7.8,8.9,9.1,7.4,9.9,5.2,5.2,34,36,124,7.3,"2079862","CBS","13718",NA,NA,NA,NA,NA,NA,NA
"Blake Grupe","K","NYJ",17,29,36,0.225,0.225,7.7,7.7,9.9,11.6,6.5,9.7,4.79,4.79,36,37,123,7.2,"2876348","CBS","16444",NA,NA,NA,NA,NA,NA,NA
"Joey Slye","K","TEN",17,29,35,0.258,0.259,7.1,7.4,8.4,8.7,7.6,10,5.5,5.5,34,35,121,7.1,"3116871","CBS","14600",NA,NA,NA,NA,NA,NA,NA
"Drew Stevens","K","WAS",17,27,32,0.27,0.272,7.5,7.8,8.6,9.6,7.5,9.8,2.97,2.97,39,43,120,7.1,"28873746","CBS","17726",NA,NA,NA,NA,NA,NA,NA
"Andres Borregales","K","NE",17,26,31,0.407,0.407,7,7.1,8.7,9.6,6.2,9.3,3.5,3.5,42,44,120,7.1,"26699665","CBS","17220",NA,NA,NA,NA,NA,NA,NA
"Jake Elliott","K","PHI",17,26,33,0.199,0.199,5.5,5.5,8.4,8.6,8.4,10.8,3.34,3.34,40,43,118,6.9,"2080295","CBS","13303",NA,NA,NA,NA,NA,NA,NA
"Riley Patterson","K","MIA",17,27,31,0.214,0.215,5.9,6,8.5,9.5,9.1,10.1,3.15,3.15,37,38,118,6.9,"2865368","CBS","15369",NA,NA,NA,NA,NA,NA,NA
"Chad Ryland","K","ARI",17,26,33,0.214,0.214,5.9,5.9,8.3,9.1,7.3,10.6,4.54,4.54,36,37,114,6.7,"2964074","CBS","16292",NA,NA,NA,NA,NA,NA,NA
"Chris Boswell","K","PIT",17,25,28,0.21,0.21,5.8,5.9,6.8,8.1,7.6,8.6,4.46,4.46,36,37,111,6.5,"1724930","CBS","11936",NA,NA,NA,NA,NA,NA,NA
"Ryan Fitzgerald","K","CAR",17,24,29,0.196,0.196,5.9,5.9,7.8,8.8,8.3,9.3,1.96,1.96,34,37,106,6.2,"3126649","CBS","17277",NA,NA,NA,NA,NA,NA,NA
"Andre Szmyt","K","CLE",17,23,26,0.18,0.18,4.94,4.99,8.5,9.4,5.2,6.2,3.82,3.82,32,33,101,5.9,"2868551","CBS","16419",NA,NA,NA,NA,NA,NA,NA
"Matt Gay","K","LV",17,22,29,0.179,0.179,5.7,5.8,5.8,6.6,6.8,7.6,3.8,3.8,32,33,98,5.8,"2870511","CBS","14244",NA,NA,NA,NA,NA,NA,NA
"Ben Sauls","K","NYG",17,20,26,0.19,0.192,5.8,6.1,6.7,8.4,5.4,7.5,1.85,1.85,25,31,85,5,"3169819","CBS","17434",NA,NA,NA,NA,NA,NA,NA
"Dominic Zvada","K","NYG",17,7,9,0.066,0.067,1.86,1.92,2.13,2.63,1.86,2.69,0.731,0.731,9,12,30,1.8,"28876817","CBS","17736",NA,NA,NA,NA,NA,NA,NA
"Brandon Aubrey","K","DAL",NA,35,40,NA,NA,NA,NA,NA,NA,9,NA,7,NA,46,47,NA,NA,"3953687","ESPN","16414",9,11,19,19,NA,NA,NA
"Cameron Dicker","K","LAC",NA,34,38,NA,NA,NA,NA,NA,NA,9,NA,7,NA,42,42,NA,NA,"4362081","ESPN","15979",9,10,18,19,NA,NA,NA
"Jason Myers","K","SEA",NA,33,38,NA,NA,NA,NA,NA,NA,9,NA,6,NA,43,44,NA,NA,"2473037","ESPN","12437",9,10,18,19,NA,NA,NA
"Ka'imi Fairbairn","K","HOU",NA,36,40,NA,NA,NA,NA,NA,NA,9,NA,7,NA,31,32,NA,NA,"2971573","ESPN","12860",10,11,20,20,NA,NA,NA
"Harrison Mevis","K","LAR",NA,30,34,NA,NA,NA,NA,NA,NA,8,NA,6,NA,55,56,NA,NA,"4574716","ESPN","16843",8,9,16,17,NA,NA,NA
"Eddy Pineiro","K","SF",NA,32,36,NA,NA,NA,NA,NA,NA,8,NA,6,NA,42,43,NA,NA,"4034949","ESPN","13719",9,10,17,18,NA,NA,NA
"Harrison Butker","K","KCC",NA,31,36,NA,NA,NA,NA,NA,NA,8,NA,6,NA,41,42,NA,NA,"3055899","ESPN","13354",8,10,17,17,NA,NA,NA
"Cam Little","K","JAC",NA,30,34,NA,NA,NA,NA,NA,NA,8,NA,6,NA,40,41,NA,NA,"4686361","ESPN","16680",8,9,17,17,NA,NA,NA
"Jake Bates","K","DET",NA,28,32,NA,NA,NA,NA,NA,NA,7,NA,5,NA,49,51,NA,NA,"4689936","ESPN","16846",8,9,15,16,NA,NA,NA
"Tyler Loop","K","BAL",NA,29,34,NA,NA,NA,NA,NA,NA,8,NA,6,NA,44,46,NA,NA,"4697745","ESPN","17222",8,9,16,17,NA,NA,NA
"Cairo Santos","K","CHI",NA,30,34,NA,NA,NA,NA,NA,NA,8,NA,6,NA,40,41,NA,NA,"17427","ESPN","11945",8,9,16,17,NA,NA,NA
"Will Reichard","K","MIN",NA,31,35,NA,NA,NA,NA,NA,NA,8,NA,6,NA,34,35,NA,NA,"4567104","ESPN","16681",8,9,17,17,NA,NA,NA
"Chris Boswell","K","PIT",NA,31,35,NA,NA,NA,NA,NA,NA,8,NA,6,NA,32,32,NA,NA,"17372","ESPN","11936",8,10,17,17,NA,NA,NA
"Chase McLaughlin","K","TB",NA,31,34,NA,NA,NA,NA,NA,NA,8,NA,6,NA,35,35,NA,NA,"3150744","ESPN","14717",8,9,17,17,NA,NA,NA
"Evan McPherson","K","CIN",NA,28,32,NA,NA,NA,NA,NA,NA,7,NA,5,NA,44,45,NA,NA,"4360234","ESPN","15368",8,9,15,16,NA,NA,NA
"Nick Folk","K","ATL",NA,31,34,NA,NA,NA,NA,NA,NA,8,NA,6,NA,31,32,NA,NA,"10621","ESPN","8851",8,9,17,17,NA,NA,NA
