"player","pos","team","games","rush_att","rush_yds","rush_avg","rush_tds","rec_tgt","rec","rec_yds","rec_yds_g","rec_avg","rec_tds","fumbles_lost","site_pts","site_fppg","src_id","data_src","id","rush_09_tds","rush_1019_tds","rush_2029_tds","rush_3039_tds","rush_4049_tds","rush_50_tds","rush_50_yds","rush_100_yds","rec_rz_tgt","rec_50_yds","rec_100_yds","return_yds","scoring_opp","bye"
"Jahmyr Gibbs","RB","DET",17,279,1435,5.1,16,92,75,633,37.2,8.4,5,1,314,18.5,"3162723","CBS","16162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonathan Taylor","RB","IND",17,359,1582,4.4,15,53,42,344,20.2,8.2,2,2,276,16.2,"2866395","CBS","14802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bijan Robinson","RB","ATL",17,291,1400,4.8,9,91,71,701,41.2,9.9,4,2,269,15.8,"3168163","CBS","16161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derrick Henry","RB","BAL",17,305,1656,5.4,15,23,17,171,10.1,10.1,1,2,259,15.2,"2061188","CBS","12626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian McCaffrey","RB","SF",17,256,1008,3.9,8,95,75,688,40.5,9.2,5,1,229,13.5,"2136743","CBS","13130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"De'Von Achane","RB","MIA",17,229,1129,4.9,7,93,76,551,32.4,7.3,6,1,227,13.4,"3171161","CBS","16167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James Cook","RB","BUF",17,288,1435,5,9,39,32,273,16.1,8.5,2,3,214,12.6,"2975698","CBS","15715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chase Brown","RB","CIN",17,236,1008,4.3,9,91,73,472,27.8,6.5,5,1,212,12.5,"2965160","CBS","16181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saquon Barkley","RB","PHI",17,306,1374,4.5,7,55,41,314,18.5,7.7,2,1,203,11.9,"2185957","CBS","13604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenneth Walker III","RB","KC",17,263,1205,4.6,8,55,47,360,21.2,7.7,0,1,187,11,"3121372","CBS","15711",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Javonte Williams","RB","DAL",17,257,1198,4.7,11,43,31,147,8.6,4.7,1,2,186,10.9,"2961719","CBS","15256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D'Andre Swift","RB","CHI",17,248,1121,4.5,9,48,36,325,19.1,9,1,1,185,10.9,"2871710","CBS","14797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cam Skattebo","RB","NYG",17,209,907,4.3,9,57,43,351,20.6,8.2,4,2,184,10.8,"26697012","CBS","17045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyren Williams","RB","LAR",17,221,1046,4.7,9,43,33,243,14.3,7.4,3,2,181,10.6,"3121836","CBS","15710",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bucky Irving","RB","TB",17,265,1028,3.9,6,51,44,400,23.5,9.1,3,1,179,10.5,"26693770","CBS","16598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ashton Jeanty","RB","LV",17,229,875,3.8,8,65,49,300,17.6,6.1,5,1,177,10.4,"28874008","CBS","17042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Etienne","RB","NO",17,254,992,3.9,5,66,48,362,21.3,7.5,5,1,177,10.4,"2809206","CBS","15253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Omarion Hampton","RB","LAC",17,220,896,4.1,10,53,46,298,17.5,6.5,2,1,172,10.1,"28908905","CBS","17044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhayshul Tuten","RB","JAC",17,224,891,4,12,22,16,128,7.5,8,3,3,170,10,"26732838","CBS","17052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Breece Hall","RB","NYJ",17,224,1014,4.5,6,53,40,370,21.8,9.3,2,2,165,9.7,"3123469","CBS","15708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremiyah Love","RB","ARI",17,211,946,4.5,7,56,43,382,22.5,8.9,2,3,164,9.6,"29133405","CBS","17472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quinshon Judkins","RB","CLE",17,277,973,3.5,10,52,37,243,14.3,6.6,0,1,163,9.6,"28878286","CBS","17051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Montgomery","RB","HOU",17,263,1014,3.9,9,31,27,213,12.5,7.9,0,2,155,9.1,"2261252","CBS","14071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jadarian Price","RB","SEA",17,228,974,4.3,8,27,20,221,13,11.1,1,3,152,8.9,"28875230","CBS","17473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MarShawn Lloyd","RB","GB",17,243,1022,4.2,8,17,13,130,7.6,10,1,3,148,8.7,"3162514","CBS","16604",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J.K. Dobbins","RB","DEN",17,248,1137,4.6,7,26,21,77,4.5,3.7,0,1,147,8.6,"2804420","CBS","14800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TreVeyon Henderson","RB","NE",17,189,890,4.7,7,40,33,208,12.2,6.3,1,1,140,8.2,"26699547","CBS","17043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rico Dowdle","RB","PIT",17,191,834,4.4,7,46,36,252,14.8,7,1,1,137,8.1,"2252798","CBS","14823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
