"player","pos","team","games","rec_tgt","rec","rec_yds","rec_yds_g","rec_avg","rec_tds","fumbles_lost","site_pts","site_fppg","src_id","data_src","id","rush_att","rush_yds","rush_tds","rec_rz_tgt","rec_09_tds","rec_1019_tds","rec_2029_tds","rec_3039_tds","rec_4049_tds","rec_50_tds","rush_50_yds","rush_100_yds","rec_150_yds","rec_200_yds","return_yds","scoring_opp","bye"
"Trey McBride","TE","ARI",17,153,115,1135,66.8,9.9,8,0,152,8.9,"2963385","CBS","15794",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colston Loveland","TE","CHI",17,126,84,1036,60.9,12.3,8,0,143,8.4,"28874696","CBS","17104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brock Bowers","TE","LV",17,119,88,982,57.8,11.2,9,0,143,8.4,"26693971","CBS","16641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harold Fannin Jr.","TE","CLE",17,129,87,877,51.6,10.1,9,1,138,8.1,"28900882","CBS","17103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas Goedert","TE","PHI",17,92,68,720,42.4,10.6,11,0,136,8,"2132551","CBS","13674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Kittle","TE","SF",17,95,77,906,53.3,11.8,8,0,131,7.7,"2818265","CBS","13299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tucker Kraft","TE","GB",17,75,55,782,46,14.2,10,0,130,7.6,"3133332","CBS","16222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Warren","TE","IND",17,109,74,904,53.2,12.2,6,0,125,7.4,"3168800","CBS","17102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Isaiah Likely","TE","NYG",17,99,72,895,52.6,12.4,7,2,119,7,"2961906","CBS","15798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam LaPorta","TE","DET",17,92,72,910,53.5,12.6,6,0,119,7,"3124197","CBS","16214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mark Andrews","TE","BAL",17,84,60,593,34.9,9.9,10,0,117,6.9,"2131121","CBS","13671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton Kincaid","TE","BUF",17,81,59,776,45.6,13.2,7,0,111,6.5,"2982991","CBS","16213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Pitts","TE","ATL",17,103,74,822,48.4,11.1,6,0,109,6.4,"2964514","CBS","15329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Kelce","TE","KC",17,110,78,813,47.8,10.4,6,0,108,6.4,"1725130","CBS","11244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brenton Strange","TE","JAC",17,95,70,814,47.9,11.6,5,0,102,6,"3121696","CBS","16269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juwan Johnson","TE","NO",17,95,72,878,51.6,12.2,4,2,100,5.9,"2186637","CBS","14861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hunter Henry","TE","NE",17,84,57,702,41.3,12.3,6,0,99,5.8,"2079848","CBS","12676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Ferguson","TE","DAL",17,100,78,634,37.3,8.1,7,2,93,5.5,"2867159","CBS","15799",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cade Otton","TE","TB",17,94,67,706,41.5,10.5,4,0,87,5.1,"2815179","CBS","15802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AJ Barner","TE","SEA",17,60,46,470,27.6,10.2,7,0,86,5.1,"3169283","CBS","16723",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalton Schultz","TE","HOU",17,95,71,691,40.6,9.7,4,0,85,5,"2136748","CBS","13772",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenyon Sadiq","TE","NYJ",17,70,47,528,31.1,11.2,6,1,80,4.7,"29125433","CBS","17543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greg Dulcich","TE","MIA",17,78,59,675,39.7,11.4,4,2,78,4.6,"2964274","CBS","15797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terrance Ferguson","TE","LAR",17,58,29,529,31.1,18.2,5,0,76,4.5,"26701481","CBS","17107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pat Freiermuth","TE","PIT",17,60,46,510,30,11.1,5,0,74,4.4,"2961270","CBS","15331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darren Waller","TE","CAR",17,65,46,469,27.6,10.2,6,0,74,4.4,"1850793","CBS","12263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chigoziem Okonkwo","TE","WAS",17,73,53,628,36.9,11.9,3,0,71,4.2,"2965208","CBS","15889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colby Parkinson","TE","LAR",17,58,41,434,25.5,10.6,6,1,69,4.1,"2867522","CBS","14871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Njoku","TE","LAC",17,62,42,403,23.7,9.6,6,0,68,4,"2136474","CBS","13192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T.J. Hockenson","TE","MIN",17,73,55,518,30.5,9.4,4,0,68,4,"2251097","CBS","14138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Higbee","TE","LAR",17,58,40,499,29.4,12.5,4,0,65,3.8,"1853103","CBS","12678",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Gesicki","TE","CIN",17,69,49,541,31.8,11,3,0,64,3.8,"2139298","CBS","13672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mason Taylor","TE","NYJ",17,83,56,461,27.1,8.2,4,0,62,3.6,"28878064","CBS","17106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oronde Gadsden II","TE","LAC",17,53,38,534,31.4,14.1,3,1,62,3.6,"26727374","CBS","17099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Theo Johnson","TE","NYG",17,56,35,389,22.9,11.1,5,0,60,3.5,"3162129","CBS","16649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evan Engram","TE","DEN",17,84,56,479,28.2,8.6,3,0,57,3.4,"2079887","CBS","13189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawson Knox","TE","BUF",17,48,35,400,23.5,11.4,3,0,50,2.9,"2186345","CBS","14143",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlie Kolar","TE","LAC",17,36,25,332,19.5,13.3,4,0,48,2.8,"2866273","CBS","15795",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gunnar Helm","TE","TEN",17,55,44,377,22.2,8.6,3,0,48,2.8,"26696189","CBS","17105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brock Wright","TE","DET",17,51,34,303,17.8,8.9,4,0,45,2.6,"2807423","CBS","15626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonnu Smith","TE","GB",17,38,28,253,14.9,9,3,0,43,2.5,"2081506","CBS","13193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Bellinger","TE","TEN",17,35,26,332,19.5,12.8,3,0,42,2.5,"2963615","CBS","15873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Noah Fant","TE","NO",17,55,44,427,25.1,9.7,2,3,41,2.4,"2251095","CBS","14137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darnell Washington","TE","PIT",17,49,35,383,22.5,10.9,2,1,40,2.4,"3163963","CBS","16216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Oliver","TE","MIN",17,28,22,244,14.4,11.1,4,0,40,2.4,"2184618","CBS","14209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Will Kacmarek","TE","MIA",17,52,35,328,19.3,9.4,3,1,40,2.4,"26717403","CBS","17605",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Mayer","TE","LV",17,58,40,346,20.4,8.7,2,0,39,2.3,"3171673","CBS","16212",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marlin Klein","TE","HOU",17,51,35,353,20.8,10.1,2,1,37,2.2,"28927889","CBS","17593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eli Stowers","TE","PHI",17,45,31,323,19,10.4,2,1,34,2,"26696120","CBS","17544",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davis Allen","TE","LAR",17,38,26,240,14.1,9.2,3,0,34,2,"3123267","CBS","16219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erick All","TE","CIN",17,43,36,302,17.8,8.4,2,0,33,1.9,"3121555","CBS","16645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adam Trautman","TE","DEN",17,36,27,282,16.6,10.4,2,0,31,1.8,"2182228","CBS","14870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cole Kmet","TE","CHI",17,32,22,229,13.5,10.4,2,0,27,1.6,"2868619","CBS","14867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nate Boerkircher","TE","JAC",17,32,22,240,14.1,10.9,2,1,26,1.5,"3162867","CBS","17591",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eli Raridon","TE","NE",17,32,22,241,14.2,11,2,1,26,1.5,"28924611","CBS","17607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Ruckert","TE","NYJ",17,36,27,196,11.5,7.3,2,0,24,1.4,"2965446","CBS","15796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tommy Tremble","TE","CAR",17,30,23,202,11.9,8.8,2,0,24,1.4,"2969027","CBS","15332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
