"player","pos","team","games","rec_tgt","rec","rec_yds","rec_yds_g","rec_avg","rec_tds","rush_att","rush_yds","rush_avg","rush_tds","fumbles_lost","site_pts","site_fppg","src_id","data_src","id","dst_int","dst_fum_rec","dst_sacks","dst_fumbles","dst_tackles","rec_rz_tgt","rec_09_tds","rec_1019_tds","rec_2029_tds","rec_3039_tds","rec_4049_tds","rec_50_tds","rush_50_yds","rush_100_yds","rec_150_yds","rec_200_yds","return_yds","scoring_opp","bye"
"Puka Nacua","WR","LAR",17,177,130,1699,99.9,13.1,9,15,108,7.2,2,1,228,13.4,"3121687","CBS","16211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaxon Smith-Njigba","WR","SEA",17,153,111,1608,94.6,14.5,12,7,36,5.1,0,1,223,13.1,"3162959","CBS","16185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ja'Marr Chase","WR","CIN",17,187,128,1553,91.4,12.1,10,3,19,6.3,0,1,207,12.2,"2966320","CBS","15281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amon-Ra St. Brown","WR","DET",17,162,115,1370,80.6,11.9,11,3,8,2.7,0,0,195,11.5,"2967690","CBS","15287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"George Pickens","WR","DAL",17,142,93,1384,81.4,14.9,10,1,-1,-1,0,0,191,11.2,"3123212","CBS","15762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rashee Rice","WR","KC",17,150,104,1049,61.7,10.1,13,9,35,3.9,2,0,188,11.1,"3124978","CBS","16194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drake London","WR","ATL",17,153,94,1257,73.9,13.4,12,0,0,0,0,1,187,11,"3127902","CBS","15751",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Olave","WR","NO",17,155,100,1254,73.8,12.5,11,1,0,0,0,0,183,10.8,"2963666","CBS","15754",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A.J. Brown","WR","NE",17,143,91,1330,78.2,14.6,9,0,0,0,0,0,178,10.5,"2258303","CBS","14104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nico Collins","WR","HOU",17,134,82,1247,73.4,15.2,9,2,13,6.5,1,1,175,10.3,"2878193","CBS","15290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tee Higgins","WR","CIN",17,119,74,1035,60.9,14,11,0,0,0,0,0,161,9.5,"2809208","CBS","14835",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CeeDee Lamb","WR","DAL",17,156,101,1331,78.3,13.2,6,5,25,5,0,0,161,9.5,"2865251","CBS","14832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zay Flowers","WR","BAL",17,117,83,1183,69.6,14.3,8,10,60,6,1,2,161,9.5,"3127049","CBS","16190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malik Nabers","WR","NYG",17,135,80,1034,60.8,12.9,11,4,2,0.5,0,0,161,9.5,"26697761","CBS","16615",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Jefferson","WR","MIN",17,147,91,1274,74.9,14,7,2,6,3,0,0,160,9.4,"2871343","CBS","14836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tetairoa McMillan","WR","CAR",17,141,82,1172,68.9,14.3,8,0,0,0,0,1,153,9,"28877124","CBS","17071",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alec Pierce","WR","IND",17,89,49,1067,62.8,21.8,9,0,0,0,0,0,152,8.9,"2965664","CBS","15768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emeka Egbuka","WR","TB",17,143,72,1118,65.8,15.5,8,2,10,5,0,0,151,8.9,"26696165","CBS","17081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jameson Williams","WR","DET",17,99,63,1083,63.7,17.2,7,8,40,5,1,0,149,8.8,"3125968","CBS","15756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terry McLaurin","WR","WAS",17,98,64,925,54.4,14.5,10,1,1,1,0,0,144,8.5,"2139279","CBS","14109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DeVonta Smith","WR","PHI",17,126,90,1158,68.1,12.9,6,0,0,0,0,0,143,8.4,"2866975","CBS","15282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
